                     objid  nvote  spiral  elliptical  uncertain          ra       dec  petror90_r   expAB_r          u          g          r          i        u-g
177    1237650369409843213     32       1           0          0  183.713491 -3.489500    13.41941  0.544211  16.327310  15.035360  14.394470  14.005430   1.291950
178    1237650369409843269     30       1           0          0  183.798177 -3.441139    26.33817  0.294335  16.418600  14.922330  14.531390  14.302340   1.496270
179    1237650369409843350     29       0           0          1  183.703054 -3.340419    11.06053  0.944647  17.671130  16.457020  16.036320  15.742880   1.214110
180    1237650369409843408     32       0           0          1  183.825047 -3.429394    15.53842  0.566617  17.652940  15.893090  15.065190  14.657580   1.759850
181    1237650369409974372     28       0           1          0  183.993133 -3.466567    13.40964  0.807383  18.524820  16.438120  15.403760  14.957930   2.086700
182    1237650369410039904     34       1           0          0  184.183667 -3.430274    14.49914  0.733976  17.043700  15.401120  14.631650  14.256640   1.642580
183    1237650369410498578     30       0           0          1  185.221794 -3.429482    11.68139  0.553473  18.030040  16.188970  15.324180  14.912440   1.841070
184    1237650369410695336     53       0           0          1  185.739416 -3.513008    14.15438  0.936412  17.501170  15.941640  15.205330  14.826330   1.559530
185    1237650369410760795     32       0           1          0  185.886113 -3.360755    10.28256  0.922628  18.238360  16.457040  15.550550  15.108670   1.781320
186    1237650369410760819     54       0           0          1  185.797596 -3.491176    10.51230  0.528216  17.113620  16.445440  16.314180  16.277770   0.668180
187    1237650369411023073     61       1           0          0  186.501028 -3.465291    16.88169  0.552977  16.093190  14.743880  14.087700  13.736390   1.349310
188    1237650369411350741     28       1           0          0  187.192441 -3.368624    11.01512  0.627688  18.830510  17.687200  17.304680  17.078370   1.143310
189    1237650369411547243     21       0           0          1  187.648098 -3.466469    10.00177  0.696995  18.085470  17.002880  16.597130  16.380680   1.082590
190    1237650369941733519     32       1           0          0  172.358471 -3.003822    10.54668  0.434397  18.216500  17.107730  16.764930  16.541850   1.108770
191    1237650369943503026     47       1           0          0  176.422504 -2.955912    10.49788  0.369810  17.971300  16.326280  15.571940  15.190550   1.645020
192    1237650369943830722     65       1           0          0  177.218648 -3.103558    10.47272  0.811284  17.326380  16.112630  15.537050  15.248050   1.213750
193    1237650369944027414     28       0           0          1  177.641164 -3.073345    10.20551  0.887537  19.648820  17.457590  16.409150  15.967820   2.191230
194    1237650369944092913     35       0           1          0  177.794534 -3.028111    15.34249  0.913483  18.650580  16.521080  15.553540  15.120050   2.129500
195    1237650760249114665     30       0           0          1  193.801676 -3.517427    12.78812  0.283853  18.255900  17.219870  16.855220  16.686250   1.036030
196    1237650760249442490     35       0           0          1  194.584812 -3.550369    11.82763  0.987280  18.193910  16.620170  15.857300  15.465080   1.573740
197    1237650760249442622     63       0           0          1  194.579039 -3.646213    10.33837  0.381745  19.775780  18.333760  17.711580  17.431240   1.442020
198    1237650760249573380     35       0           0          1  194.828283 -3.679479    10.30434  0.626768  17.382870  16.008090  15.312770  14.909680   1.374780
199    1237650760250032318     60       0           1          0  195.949256 -3.512836    10.93401  0.627133  18.494520  16.494580  15.540070  15.080290   1.999940
200    1237650760250097706     38       0           0          1  196.085552 -3.627376    10.79313  0.410867  19.844850  17.797590  16.822870  16.311840   2.047260
201    1237650760250228819     60       1           0          0  196.436306 -3.571147    10.02356  0.439885  19.944320  17.810440  16.929880  16.442370   2.133880
202    1237650760250294400     32       1           0          0  196.456368 -3.640371    11.14851  0.778366  17.580380  15.818640  15.079980  14.709850   1.761740
203    1237650760785330362     52       0           0          1  192.328426 -3.221593    10.30073  0.718552  17.779360  16.913910  16.502510  16.344080   0.865450
204    1237650760785920178     48       0           0          1  193.688418 -3.114253    12.42735  0.786326  19.331220  17.442990  16.236130  15.764800   1.888230
205    1237650760785920212     64       0           1          0  193.700998 -3.175359    11.80653  0.812514  18.176040  16.341180  15.510600  15.135150   1.834860
206    1237650760786182310     24       1           0          0  194.252454 -3.172562    12.22998  0.635321  17.281450  16.081130  15.715440  15.469990   1.200320
207    1237650760786313268     61       0           1          0  194.592773 -3.101551    15.57556  0.820465  17.510450  15.592610  14.710040  14.260730   1.917840
208    1237650760786378834     37       1           0          0  194.770947 -3.145763    14.42850  0.619561  17.293570  15.682090  14.980490  14.598260   1.611480
209    1237650760786444498     24       1           0          0  194.808693 -3.290635    10.82401  0.908712  18.619160  17.077520  16.472040  16.132890   1.541640
210    1237650760786641121     59       0           0          1  195.335240 -3.274640    10.20376  0.836122  20.605160  18.517640  17.493860  17.070120   2.087520
211    1237650760786772127     31       0           0          1  195.590018 -3.238226    11.70972  0.834876  18.602510  16.592490  15.666450  15.253240   2.010020
212    1237650760786837638     46       0           1          0  195.830386 -3.110794    11.08910  0.928323  18.947020  16.829980  15.801970  15.361640   2.117040
213    1237650760787165338     35       1           0          0  196.551823 -3.078121    10.42431  0.384716  18.156100  16.354190  15.474000  15.044910   1.801910
214    1237650760787624144     31       0           1          0  197.546485 -3.156272    10.46950  0.771806  19.573880  17.637980  16.515040  16.074870   1.935900
215    1237650760787886330     53       1           0          0  198.201994 -3.141297    10.06887  0.892826  17.572210  16.510730  16.185430  15.936640   1.061480
